ITSM Environment,ITSM FQDN,ITSM Operating System,Data Source,CPU Count,CPU Type,Location,Memory,OS,OS Version,Support Stage,Days Current Stage,Aquisition Date,Lifecycle Date,Apex Hostname,Apex Has Current Metrics,Apex Dashboard Url,Source Url
Test,wn000078776.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,2,,CTC,8,windows,Microsoft 2019,Steady State,,,,wn000078776,true,https://apex.optum.com/hostview?host=wn000078776,/infrared/wn000078776
Test,wn000078777.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,CTC,16,windows,Microsoft 2019,Steady State,,,,wn000078777,true,https://apex.optum.com/hostview?host=wn000078777,/infrared/wn000078777
Test,wn000078778.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,2,,CTC,8,windows,Microsoft 2019,Steady State,,,,wn000078778,true,https://apex.optum.com/hostview?host=wn000078778,/infrared/wn000078778
Test,wn000078779.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,2,,CTC,8,windows,Microsoft 2019,Steady State,,,,wn000078779,true,https://apex.optum.com/hostview?host=wn000078779,/infrared/wn000078779
Test,wn000078782.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,2,,CTC,8,windows,Microsoft 2019,Steady State,,,,wn000078782,true,https://apex.optum.com/hostview?host=wn000078782,/infrared/wn000078782
Test,wn000078783.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,2,,CTC,8,windows,Microsoft 2019,Steady State,,,,wn000078783,true,https://apex.optum.com/hostview?host=wn000078783,/infrared/wn000078783
Test,wn000078784.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,2,,CTC,8,windows,Microsoft 2019,Steady State,,,,wn000078784,true,https://apex.optum.com/hostview?host=wn000078784,/infrared/wn000078784
Stage,wn000081893.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,6,,ELR,12,windows,Microsoft 2019,Steady State,,,,wn000081893,true,https://apex.optum.com/hostview?host=wn000081893,/infrared/wn000081893
Stage,wn000081894.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wn000081894,true,https://apex.optum.com/hostview?host=wn000081894,/infrared/wn000081894
Stage,wn000081895.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wn000081895,true,https://apex.optum.com/hostview?host=wn000081895,/infrared/wn000081895
Stage,wn000081896.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wn000081896,true,https://apex.optum.com/hostview?host=wn000081896,/infrared/wn000081896
Stage,wn000081898.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,8,,CTC,64,windows,Microsoft 2019,Steady State,,,,wn000081898,true,https://apex.optum.com/hostview?host=wn000081898,/infrared/wn000081898
Stage,wn000081899.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,8,,ELR,64,windows,Microsoft 2019,Steady State,,,,wn000081899,true,https://apex.optum.com/hostview?host=wn000081899,/infrared/wn000081899
Non-Prod,wn000081899cls.ms.ds.uhc.com,,InfraRED,8,,elr,64,windows,,Steady State,,,,wn000081899cls,false,https://apex.optum.com/hostview?host=wn000081899cls,/infrared/wn000081899cls
Stage,wn000081900.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,8,,ELR,64,windows,Microsoft 2019,Steady State,,,,wn000081900,true,https://apex.optum.com/hostview?host=wn000081900,/infrared/wn000081900
Stage,wn000082164.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,6,,ELR,12,windows,Microsoft 2019,Steady State,,,,wn000082164,true,https://apex.optum.com/hostview?host=wn000082164,/infrared/wn000082164
Stage,wn000082165.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wn000082165,true,https://apex.optum.com/hostview?host=wn000082165,/infrared/wn000082165
Stage,wn000082166.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wn000082166,true,https://apex.optum.com/hostview?host=wn000082166,/infrared/wn000082166
Stage,wn000082167.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wn000082167,true,https://apex.optum.com/hostview?host=wn000082167,/infrared/wn000082167
Production,wp000082425.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,CTC,16,windows,Microsoft 2019,Steady State,,,,wp000082425,true,https://apex.optum.com/hostview?host=wp000082425,/infrared/wp000082425
Production,wp000082426.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,6,,CTC,16,windows,Microsoft 2019,Steady State,,,,wp000082426,true,https://apex.optum.com/hostview?host=wp000082426,/infrared/wp000082426
Production,wp000082427.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,CTC,16,windows,Microsoft 2019,Steady State,,,,wp000082427,true,https://apex.optum.com/hostview?host=wp000082427,/infrared/wp000082427
Production,wp000082428.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,CTC,16,windows,Microsoft 2019,Steady State,,,,wp000082428,true,https://apex.optum.com/hostview?host=wp000082428,/infrared/wp000082428
Production,wp000082436.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,6,,CTC,16,windows,Microsoft 2019,Steady State,,,,wp000082436,true,https://apex.optum.com/hostview?host=wp000082436,/infrared/wp000082436
Production,wp000082437.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,CTC,16,windows,Microsoft 2019,Steady State,,,,wp000082437,true,https://apex.optum.com/hostview?host=wp000082437,/infrared/wp000082437
Production,wp000082438.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,CTC,16,windows,Microsoft 2019,Steady State,,,,wp000082438,true,https://apex.optum.com/hostview?host=wp000082438,/infrared/wp000082438
Production,wp000082439.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,CTC,16,windows,Microsoft 2019,Steady State,,,,wp000082439,true,https://apex.optum.com/hostview?host=wp000082439,/infrared/wp000082439
Production,wp000082551.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,6,,ELR,12,windows,Microsoft 2019,Steady State,,,,wp000082551,true,https://apex.optum.com/hostview?host=wp000082551,/infrared/wp000082551
Production,wp000082552.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wp000082552,true,https://apex.optum.com/hostview?host=wp000082552,/infrared/wp000082552
Production,wp000082553.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wp000082553,true,https://apex.optum.com/hostview?host=wp000082553,/infrared/wp000082553
Production,wp000082554.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wp000082554,true,https://apex.optum.com/hostview?host=wp000082554,/infrared/wp000082554
Production,wp000082583.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,6,,ELR,12,windows,Microsoft 2019,Steady State,,,,wp000082583,true,https://apex.optum.com/hostview?host=wp000082583,/infrared/wp000082583
Production,wp000082584.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wp000082584,true,https://apex.optum.com/hostview?host=wp000082584,/infrared/wp000082584
Production,wp000082585.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wp000082585,true,https://apex.optum.com/hostview?host=wp000082585,/infrared/wp000082585
Production,wp000082586.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wp000082586,true,https://apex.optum.com/hostview?host=wp000082586,/infrared/wp000082586
Production,wp000082608.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,8,,ELR,64,windows,Microsoft 2019,Steady State,,,,wp000082608,true,https://apex.optum.com/hostview?host=wp000082608,/infrared/wp000082608
Production,wp000082609.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,8,,ELR,64,windows,Microsoft 2019,Steady State,,,,wp000082609,true,https://apex.optum.com/hostview?host=wp000082609,/infrared/wp000082609
Production,wp000082609cls.ms.ds.uhc.com,,InfraRED,8,,elr,64,windows,,Steady State,,,,wp000082609cls,false,https://apex.optum.com/hostview?host=wp000082609cls,/infrared/wp000082609cls
Production,wp000082610.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,8,,CTC,64,windows,Microsoft 2019,Steady State,,,,wp000082610,true,https://apex.optum.com/hostview?host=wp000082610,/infrared/wp000082610